Box,Time,Addition,Role,Experiment,Methylophilaceae,Methylacidiphilaceae,Methylococcaceae,Methylomonadaceae,Methylocystaceae
1,0,None,Control,OCT_2020,0.012016243,0.024286902,0.008160869,0.004305494,0.003708596
1,1,None,Control,OCT_2020,0.019055402,0.031935442,0.011561391,0.005283881,0.001123637
2,0,None,Control,OCT_2020,0.010985163,0.025024022,0.008867934,0.005268644,0.002980407
2,1,None,Control,OCT_2020,0.01032527,0.027251281,0.011310938,0.004887941,0.00446782
2,2.05,None,Control,OCT_2020,0.011814024,0.027038872,0.011404345,0.004601753,0.004096799
2,5,None,Control,OCT_2020,0.02217874,0.045454545,0.008522727,0.002873657,0.00119531
2,8.25,None,Control,OCT_2020,0.016582782,0.040874617,0.006239341,0.001774746,0.001629161
2,20.88,None,Control,OCT_2020,0.012123493,0.0300668,0.007177323,0.000860203,0.002002661
2,31.78,None,Control,OCT_2020,0.010155793,0.029372793,0.013480705,0.003003942,0.004542948
2,50.03,None,Control,OCT_2020,0.010643829,0.036544061,0.010651257,0.00358013,0.00145582
3,0,None,Control,OCT_2020,0.008241051,0.020164821,0.010241222,0.004875955,0.005828827
3,1,None,Control,OCT_2020,0.012311013,0.025964567,0.01087195,0.003799479,0.003000974
3,2.05,None,Control,OCT_2020,0.016122618,0.034713087,0.009371718,0.003732371,0.002396468
3,5,None,Control,OCT_2020,0.014164465,0.033753817,0.006788112,0.002352963,0.00114847
3,20.88,None,Control,OCT_2020,0.008887149,0.029657879,0.006716437,0.000646957,0.006861151
3,31.78,None,Control,OCT_2020,0.01170151,0.031121974,0.010760818,0.002918784,0.00138906
3,50.03,None,Control,OCT_2020,0.008722015,0.024254122,0.013319737,0.003377732,0.002175952
1,0,NH4+,25 uM,JL1,0.004898223,0.037308617,0.001114566,0.002053147,0.001173227
1,2.92,NH4+,25 uM,JL1,0.005260198,0.028972094,0.001452705,0.001968181,0.001030952
1,6.67,NH4+,25 uM,JL1,0.005567121,0.032677265,0.001372067,0.000820086,0.001561317
1,14.8,NH4+,25 uM,JL1,0.004789986,0.030252543,0.001403016,0.000372676,0.001896264
1,23.5,NH4+,25 uM,JL1,0.00452797,0.032774553,0.001547175,0.000156137,0.001816866
1,32.28,NH4+,25 uM,JL1,0.002365324,0.024288924,0.001167879,0.000118266,0.002587074
1,40.17,NH4+,25 uM,JL1,0.004920751,0.063371666,0.001400103,0.000285458,0.001128239
1,62.25,NH4+,25 uM,JL1,0.006231371,0.063385291,0.001413765,0.000450244,0.001909033
1,70.08,NH4+,25 uM,JL1,0.007084727,0.085661987,0.001185177,0.000434565,0.000329216
2,0,None,Control,JL1,0.005496627,0.037783633,0.001135667,0.001385513,0.000908533
2,3,None,Control,JL1,0.004472037,0.028638572,0.000736571,0.00047351,0.000491047
2,6.85,None,Control,JL1,0.00377924,0.030233922,0.000749332,0.000488695,0.001368346
2,14.8,None,Control,JL1,0.003479616,0.026247728,0.000747858,0.000373929,0.002015061
2,23.63,None,Control,JL1,0.003425081,0.026924943,0.000846756,3.81E-05,0.002131162
2,32.38,None,Control,JL1,0.003122197,0.031877458,0.000689988,0.000103498,0.00175947
2,40.38,None,Control,JL1,0.003827069,0.049971847,0.001126126,2.64E-05,0.00086219
2,62.63,None,Control,JL1,0.007213192,0.066689101,0.001565541,0.000336518,0.001141235
2,70.38,None,Control,JL1,0.009059333,0.082560485,0.000716153,0.000429692,0.000358076
3,0,NH4+,25 uM,JL1,0.005382097,0.034624291,0.001229737,0.000846443,0.001213767
3,3.08,NH4+,25 uM,JL1,0.003692406,0.024920656,0.000691554,0.000518666,0.001309014
3,6.85,NH4+,25 uM,JL1,0.003638712,0.026746897,0.000842732,0.000299288,0.001882364
3,14.83,NH4+,25 uM,JL1,0.003761818,0.026323661,0.000462296,0.000190357,0.00168602
3,23.75,NH4+,25 uM,JL1,0.003414966,0.031607624,0.000585149,0.000115111,0.001458076
3,32.5,NH4+,25 uM,JL1,0.002775459,0.016830134,0.000751252,6.26E-05,0.002201586
3,40.52,NH4+,25 uM,JL1,0.004044512,0.032079829,0.00056358,7.74E-05,0.001635486
3,62.75,NH4+,25 uM,JL1,0.007888987,0.046750171,0.000942342,0.000692163,0.001159164
3,70.5,NH4+,25 uM,JL1,0.008624341,0.058377931,0.000510145,0.000490894,0.000317638
1,0,NH4+,50 uM,JL2,0.006302199,0.060512893,0.000400514,0.000176697,0.000200257
1,4.42,NH4+,50 uM,JL2,0.006481923,0.067339404,0.000549667,0.000114082,0.000248906
1,6.58,NH4+,50 uM,JL2,0.004932849,0.062402263,0.000459939,3.45E-05,0.000471438
1,19.3,NH4+,50 uM,JL2,0.005845808,0.104964203,0.000544346,0,0.000544346
1,30.17,NH4+,50 uM,JL2,0.005207245,0.103500522,0.00031348,5.22E-05,0.000557297
1,44.17,NH4+,50 uM,JL2,0.005134289,0.118886015,0.000330617,0.000116688,0.000525098
1,53.95,NH4+,50 uM,JL2,0.006335669,0.086789255,0.000215224,0.000228676,0.000484255
2,0,None,Control,JL2,0.005430552,0.058957562,0.000417735,0.000170891,0.000436723
2,4.37,None,Control,JL2,0.005588029,0.069299798,0.00040135,2.06E-05,0.000380768
2,6.62,None,Control,JL2,0.003258948,0.07003977,0.000375608,4.42E-05,0.000673884
2,10.15,None,Control,JL2,0.005732548,0.081593928,0.000579247,3.99E-05,0.000659143
2,19.27,None,Control,JL2,0.004487444,0.102349626,0.000592343,7.18E-05,0.000664142
2,31.07,None,Control,JL2,0.00373698,0.10778405,0.000349845,9.54E-05,0.000556572
2,44.15,None,Control,JL2,0.005014221,0.129569156,0.000358159,0.000126409,0.000484568
2,53.88,None,Control,JL2,0.007051028,0.110607691,0.000254856,0.000169904,0
3,0,NH4+,50 uM,JL2,0.005296871,0.050453724,0.00021557,0.000143714,0.000667242
3,4.42,NH4+,50 uM,JL2,0.005815521,0.057416548,0.000515893,0,0.000269671
3,6.75,NH4+,50 uM,JL2,0.003722859,0.067823501,0.000462234,3.75E-05,0.000387277
3,10.18,NH4+,50 uM,JL2,0.00544965,0.065011113,0.000395367,7.48E-05,0.000320568
3,19.35,NH4+,50 uM,JL2,0.005663353,0.100815907,0.00045252,4.11E-05,0.000287967
3,31.08,NH4+,50 uM,JL2,0.004482301,0.124847194,0.000420626,7.89E-05,0.000420626
3,44.18,NH4+,50 uM,JL2,0.003944015,0.137855424,0.00042715,5.70E-05,0.00034172
3,53.92,NH4+,50 uM,JL2,0.006401127,0.147209909,0.000240042,0.000272048,0.000480084
1,0,None,Control,JL3,0.003378254,0.041674359,0.001449142,0.000590733,0.000996862
1,3.4,None,Control,JL3,0.003266913,0.0320492,0.00200738,0.00098401,0.000669127
1,6.4,None,Control,JL3,0.006180309,0.061682081,0.007744835,0.000924885,0.000484052
1,19.18,None,Control,JL3,0.006200482,0.054265702,0.004443679,0.000137788,0.001148237
1,32.33,None,Control,JL3,0.006261882,0.099325158,0.007072773,0.000306337,0.000486535
1,44.97,None,Control,JL3,0.002282747,0.030567258,0.002400314,0.00031351,0.001126678
1,69.08,None,Control,JL3,0.003003081,0.06118777,0.002304088,0.000194165,0.000983768
2,0,None,Control,JL3,0.002631877,0.034180374,0.001202496,0.000828134,0.000703347
2,3.52,None,Control,JL3,0.003012339,0.026195296,0.001192886,0.000578369,0.000963948
2,6.4,None,Control,JL3,0.006819574,0.06652284,0.004790156,0.000777029,0.000164547
2,19.13,None,Control,JL3,0.006468107,0.082006051,0.00326388,2.56E-05,0.000221569
2,32.32,None,Control,JL3,0.00295964,0.046902995,0.006967762,0.000119447,0.000477789
2,44.95,None,Control,JL3,0.002121138,0.038124958,0.000566377,2.22E-05,0.001132754
2,68.87,None,Control,JL3,0.001812805,0.02555927,0.002597069,0.000179995,0.001259964
2,94.37,None,Control,JL3,0.004929218,0.059089916,0.001772576,0.000242819,0.00065561
1,0,None,Control,OCT_21,0.006775697,0.025571624,0.001615558,0.000337579,0.002338942
1,37.8,None,Control,OCT_21,0.008002609,0.030244577,0.001928949,4.50E-05,0.002609424
1,60.65,None,Control,OCT_21,0.000418277,0.002665819,0.000234235,2.79E-05,0.0012381
1,71.26666667,None,Control,OCT_21,0.0001401,0.004034885,0,4.90E-05,0.00040629
2,0,None,Control,OCT_21,0.003407778,0.013290334,0.002019732,0.000307531,0.008436329
2,23.81666667,None,Control,OCT_21,0.009679539,0.029038616,0.001016198,7.19E-05,0.001200961
2,116.4333333,None,Control,OCT_21,0.000480224,0.005455349,0.000134463,0,0.000422597
2,38.73333333,None,Control,OCT_21,0.008493952,0.036767247,0.000890602,0,0.00139572
2,61.33333333,None,Control,OCT_21,0.001088934,0.011450108,0.000195617,8.48E-05,0.001349756
2,73,None,Control,OCT_21,0.000446079,0.005832815,0.000128417,4.73E-05,0.003433453
2,82.11666667,None,Control,OCT_21,0.000278332,0.003672627,6.79E-05,2.04E-05,0.000522721
2,93.93333333,None,Control,OCT_21,0.000210798,0.003380871,0.000227013,1.62E-05,0.000299981
2,97.11666667,None,Control,OCT_21,0.000180636,0.003660253,0.000104579,0,0.000161622
2,99.7,None,Control,OCT_21,0.000136229,0.001650773,0,0,0.000352592
2,103.55,None,Control,OCT_21,0.000189667,0.002688327,4.95E-05,0,0.000338103
3,0,None,Control,OCT_21,0.005134835,0.016038737,0.001195282,0.000597641,0.002902828
3,23.23333333,None,Control,OCT_21,0.005707634,0.020896699,0.001088956,0.000103263,0.007416169
3,116.85,None,Control,OCT_21,0.000634601,0.007400936,0.000197798,3.30E-05,0.001129096
3,39.23333333,None,Control,OCT_21,0.002116666,0.016815009,0.00026294,0.00013147,0.00332619
3,61.45,None,Control,OCT_21,0.000944443,0.007136876,0.000184994,2.92E-05,0.001187857
3,73.23333333,None,Control,OCT_21,0.00044547,0.002640999,0.000151142,4.77E-05,0.0023944
3,82.23333333,None,Control,OCT_21,0.000480836,0.001362368,0.000211276,3.64E-05,0.002083622
3,93.21666667,None,Control,OCT_21,0.000221666,0.002668199,0.000385863,9.03E-05,0.000435122
3,97.18333333,None,Control,OCT_21,0.000549646,0.005809332,0.000287507,0,0.00054119
3,99.76666667,None,Control,OCT_21,0.000422528,0.006119371,0.000211264,0,0.000495378
3,102.9,None,Control,OCT_21,0.000346852,0.005211043,0.000185527,6.61E-05,0.001651678
2,0,Spirullina,Complex Carbon,NOV_21,0.003960624,0.015875364,0.000953179,8.22E-05,0.011684662
2,4.566666667,Spirullina,Complex Carbon,NOV_21,0.003555021,0.017237293,0.000628965,0.000255232,0.003390943
