Box,Time,Addition,Role,Experiment,Methylophilaceae,Methylacidiphilaceae,Methylococcaceae,Methylomonadaceae,Methylocystaceae
1,0,None,Control,OCT_2020,0.011966915,0.025898985,0.008476565,0.004252948,0.003724996
1,1,None,Control,OCT_2020,0.018859623,0.031061184,0.01173227,0.005279521,0.001202558
2,0,None,Control,OCT_2020,0.012230891,0.024168475,0.008975186,0.005543497,0.003226374
2,1,None,Control,OCT_2020,0.010412389,0.026456268,0.011086995,0.004898223,0.004311609
2,2.05,None,Control,OCT_2020,0.011350971,0.025429694,0.010911011,0.004399601,0.004399601
2,5,None,Control,OCT_2020,0.022584619,0.045139907,0.00915117,0.002845075,0.001495864
2,8.25,None,Control,OCT_2020,0.016337185,0.040828298,0.00607145,0.001525195,0.001906494
2,20.88,None,Control,OCT_2020,0.012025576,0.028890714,0.0069807,0.00087992,0.001965155
2,31.78,None,Control,OCT_2020,0.010588373,0.029829295,0.014489353,0.002903737,0.004663577
2,50.03,None,Control,OCT_2020,0.010559043,0.034258227,0.010119083,0.003637004,0.001554526
3,0,None,Control,OCT_2020,0.008300581,0.020179504,0.009884437,0.005396844,0.005807473
3,1,None,Control,OCT_2020,0.01220156,0.026074969,0.011204317,0.004018302,0.003021059
3,2.05,None,Control,OCT_2020,0.016161201,0.034639526,0.010207075,0.003959641,0.002727753
3,5,None,Control,OCT_2020,0.013844078,0.033290315,0.006687394,0.002111809,0.001231888
3,20.88,None,Control,OCT_2020,0.00871121,0.028920045,0.006863378,0.000733267,0.006335426
3,31.78,None,Control,OCT_2020,0.011526955,0.031266499,0.011262979,0.002991729,0.001671848
3,50.03,None,Control,OCT_2020,0.008828533,0.024520443,0.013345457,0.003285035,0.002082478
1,0,NH4+,25 uM,JL1,0.004839561,0.036809996,0.000909251,0.002023817,0.001114566
1,2.92,NH4+,25 uM,JL1,0.005690151,0.02871473,0.00129055,0.002434446,0.00131988
1,6.67,NH4+,25 uM,JL1,0.005631489,0.032733032,0.001407872,0.000762598,0.001613187
1,14.8,NH4+,25 uM,JL1,0.004810231,0.030679885,0.001525195,0.000381299,0.002053147
1,23.5,NH4+,25 uM,JL1,0.004986215,0.030943861,0.001349211,0.000117323,0.001701179
1,32.28,NH4+,25 uM,JL1,0.002434446,0.024579105,0.001378542,8.80E-05,0.002522438
1,40.17,NH4+,25 uM,JL1,0.005308852,0.062826304,0.001378542,0.000234645,0.000997243
1,62.25,NH4+,25 uM,JL1,0.006012788,0.064087523,0.001407872,0.000469291,0.001994486
1,70.08,NH4+,25 uM,JL1,0.007156684,0.084824309,0.001407872,0.00043996,0.000263976
