"","x"
"JL2B2T0",0.000170891483907719
"JL2B2T1",2.05820606759149e-05
"JL2B2T2",4.41891294741494e-05
"JL2B2T3",3.99480675122341e-05
"JL2B2T4",7.1799106101129e-05
"JL2B2T5",9.54122604754711e-05
"JL2B2T6",0.000126408932897925
"JL2B2T7",0.000169904287251515
"JL2N1T0",0.000176697176379121
"JL2N1T1",0.000114081848540789
"JL2N1T2",3.44954466010487e-05
"JL2N1T4",0
"JL2N1T5",5.22466039707419e-05
"JL2N1T6",0.000116688383671406
"JL2N1T7",0.000228675966155957
"JL2N3T0",0.000143713558347705
"JL2N3T1",0
"JL2N3T2",3.74784498913125e-05
"JL2N3T3",7.47991109591383e-05
"JL2N3T4",4.11381556393555e-05
"JL2N3T5",7.88674632280453e-05
"JL2N3T6",5.69532840687426e-05
"JL2N3T7",0.000272047880426955
