"","x"
"AB1T0",0.0255716240573402
"AB1T2",0.0302445772901354
"AB1T3",0.00266581895854596
"AB1T4",0.00403488494273405
"AB2T0",0.0132903343778312
"AB2T1",0.0290386155077908
"AB2T10",0.00545534873893083
"AB2T2",0.0367672471088661
"AB2T3",0.0114501079153109
"AB2T4",0.00583281516126416
"AB2T5",0.00367262704845695
"AB2T6",0.00338087091883477
"AB2T7",0.00366025250988744
"AB2T8",0.00165077329914256
"AB2T9",0.00268832721725147
"AB3T0",0.016038736903731
"AB3T1",0.020896699335361
"AB3T10",0.00740093624315949
"AB3T2",0.0168150086112828
"AB3T3",0.00713687613187156
"AB3T4",0.00264099912497017
"AB3T5",0.00136236804336264
"AB3T6",0.0026681991708058
"AB3T7",0.00580933213820629
"AB3T8",0.00611937145313217
"AB3T9",0.00521104311704614
