"","x"
"AB1T0",0.00161555757835153
"AB1T2",0.00192894942553299
"AB1T3",0.000234235138617009
"AB1T4",0
"AB2T0",0.00201973186604939
"AB2T1",0.00101619757344337
"AB2T10",0.000134462821029985
"AB2T2",0.000890602153396252
"AB2T3",0.000195616877824219
"AB2T4",0.000128416556273487
"AB2T5",6.78858973836775e-05
"AB2T6",0.000227012915413366
"AB2T7",0.000104578643139641
"AB2T8",0
"AB2T9",4.94784150414382e-05
"AB3T0",0.00119528229396626
"AB3T1",0.00108895647929105
"AB3T10",0.00019779785059669
"AB3T2",0.000262939931372678
"AB3T3",0.000184994060716998
"AB3T4",0.000151141516188052
"AB3T5",0.000211276327580303
"AB3T6",0.000385862649316531
"AB3T7",0.000287506976272218
"AB3T8",0.000211264014453373
"AB3T9",0.000189942934535755
