"","x"
"AB1T0",0.00233894156865818
"AB1T2",0.00260942429576475
"AB1T3",0.00123810001840419
"AB1T4",0.00040629049770586
"AB2T0",0.00843632857629683
"AB2T1",0.00120096076861489
"AB2T10",0.000422597437522811
"AB2T2",0.00139571979263592
"AB2T3",0.00134975645698711
"AB2T4",0.00343345318878585
"AB2T5",0.000522721409854317
"AB2T6",0.00029998135251052
"AB2T7",0.000161621539397627
"AB2T8",0.000352592355156663
"AB2T9",0.000338102502783161
"AB3T0",0.00290282842820378
"AB3T1",0.0074161691262063
"AB3T10",0.00112909606382277
"AB3T2",0.00332619013186438
"AB3T3",0.00118785660039336
"AB3T4",0.0023943998090844
"AB3T5",0.00208362171337816
"AB3T6",0.000435121710931407
"AB3T7",0.000541189602394764
"AB3T8",0.000495377689063081
"AB3T9",0.00165167769161526
