"","x"
"AB1T0",0.000337579195476439
"AB1T2",4.49900740649094e-05
"AB1T3",2.78851355496439e-05
"AB1T4",4.90350600679486e-05
"AB2T0",0.000307531189480771
"AB2T1",7.1852353677814e-05
"AB2T10",0
"AB2T2",0
"AB2T3",8.47673137238281e-05
"AB2T4",4.73113628376004e-05
"AB2T5",2.03657692151033e-05
"AB2T6",1.62152082438119e-05
"AB2T7",0
"AB2T8",0
"AB2T9",0
"AB3T0",0.000597641146983132
"AB3T1",0.000103263114415531
"AB3T10",3.29663084327817e-05
"AB3T2",0.000131469965686339
"AB3T3",2.92095885342628e-05
"AB3T4",4.77288998488585e-05
"AB3T5",3.64269530310868e-05
"AB3T6",9.03082796272731e-05
"AB3T7",0
"AB3T8",0
"AB3T9",6.60671076646103e-05
