"","x"
"AB1T0",0.00677569670920566
"AB1T2",0.00800260942429577
"AB1T3",0.000418277033244659
"AB1T4",0.00014010017162271
"AB2T0",0.00340777804559773
"AB2T1",0.00967953850259695
"AB2T10",0.000480224360821376
"AB2T2",0.00849395188089858
"AB2T3",0.00108893395322148
"AB2T4",0.000446078563897375
"AB2T5",0.000278332179273078
"AB2T6",0.000210797707169554
"AB2T7",0.000180635838150289
"AB2T8",0.000136228864492347
"AB2T9",0.000189667257658846
"AB3T0",0.00513483516081426
"AB3T1",0.00570763396042206
"AB3T10",0.000634601437331048
"AB3T2",0.00211666644755006
"AB3T3",0.000944443362607832
"AB3T4",0.000445469731922679
"AB3T5",0.000480835780010345
"AB3T6",0.000221665777266943
"AB3T7",0.000549645689932182
"AB3T8",0.000422528028906745
"AB3T9",0.000346852315239204
