"","x"
"B1T0",0.00430549439796468
"B1T1",0.00528388091302491
"B2T0",0.00526864383316233
"B2T1",0.00488794092458836
"B2T2",0.00460175304878049
"B2T3",0.00287365732250458
"B2T4",0.00177474592016416
"B2T5",0.00086020349188855
"B2T6",0.00300394215971096
"B2T7",0.00358012953829699
"B2T8",0.00233854071581949
"B3T0",0.00487595501759808
"B3T1",0.00379947877819994
"B3T2",0.00373237066723774
"B3T3",0.00235296314624786
"B3T5",0.000646957173137657
"B3T6",0.00291878395723806
"B3T7",0.003377732458097
"B3T8",0.00209954625508619
