,Replicate,Experiment,Addition,Hours_Elapsed
B1T0,1,Oct_20,None,0
B1T1,1,Oct_20,None,1
B2T0,2,Oct_20,None,0
B2T1,2,Oct_20,None,1
B2T2,2,Oct_20,None,2.05
B2T3,2,Oct_20,None,5
B2T4,2,Oct_20,None,8.25
B2T5,2,Oct_20,None,20.88
B2T6,2,Oct_20,None,31.78
B2T7,2,Oct_20,None,50.03
B2T8,2,Oct_20,None,338.03
B3T0,3,Oct_20,None,0
B3T1,3,Oct_20,None,1
B3T2,3,Oct_20,None,2.05
B3T3,3,Oct_20,None,5
B3T4,3,Oct_20,None,8.25
B3T5,3,Oct_20,None,20.88
B3T6,3,Oct_20,None,31.78
B3T7,3,Oct_20,None,50.03
B3T8,3,Oct_20,None,338.03
JL1B2T0,2,JL1,None,0
JL1B2T1,2,JL1,None,3
JL1B2T2,2,JL1,None,6.85
JL1B2T3,2,JL1,None,14.8
JL1B2T4,2,JL1,None,23.63
JL1B2T5,2,JL1,None,32.38
JL1B2T6,2,JL1,None,40.38
JL1B2T7,2,JL1,None,62.63
JL1B2T8,2,JL1,None,70.38
JL1N1T0,1,JL1,NH4,0
JL1N1T1,1,JL1,NH4,2.92
JL1N1T2,1,JL1,NH4,6.67
JL1N1T3,1,JL1,NH4,14.8
JL1N1T4,1,JL1,NH4,23.5
JL1N1T5,1,JL1,NH4,32.28
JL1N1T6,1,JL1,NH4,40.17
JL1N1T7,1,JL1,NH4,62.25
JL1N1T8,1,JL1,NH4,70.08
JL1N3T0,3,JL1,NH4,0
JL1N3T1,3,JL1,NH4,3.08
JL1N3T2,3,JL1,NH4,6.85
JL1N3T3,3,JL1,NH4,14.83
JL1N3T4,3,JL1,NH4,23.75
JL1N3T5,3,JL1,NH4,32.5
JL1N3T6,3,JL1,NH4,40.52
JL1N3T7,3,JL1,NH4,62.75
JL1N3T8,3,JL1,NH4,70.5
JL2B2T0,2,JL2,None,0
JL2B2T1,2,JL2,None,4.37
JL2B2T2,2,JL2,None,6.62
JL2B2T3,2,JL2,None,10.15
JL2B2T4,2,JL2,None,19.27
JL2B2T5,2,JL2,None,31.07
JL2B2T6,2,JL2,None,44.15
JL2B2T7,2,JL2,None,53.88
JL2N1T0,1,JL2,NH4,0
JL2N1T1,1,JL2,NH4,4.42
JL2N1T2,1,JL2,NH4,6.58
JL2N1T3,1,JL2,NH4,10.2
JL2N1T4,1,JL2,NH4,19.3
JL2N1T5,1,JL2,NH4,30.17
JL2N1T6,1,JL2,NH4,44.17
JL2N1T7,1,JL2,NH4,53.95
JL2N3T0,3,JL2,NH4,0
JL2N3T1,3,JL2,NH4,4.42
JL2N3T2,3,JL2,NH4,6.75
JL2N3T3,3,JL2,NH4,10.18
JL2N3T4,3,JL2,NH4,19.35
JL2N3T5,3,JL2,NH4,31.08
JL2N3T6,3,JL2,NH4,44.18
JL2N3T7,3,JL2,NH4,53.92
JL3B2T0,2,JL3,None,0
JL3B2T1,2,JL3,None,3.52
JL3B2T2,2,JL3,None,6.4
JL3B2T3,2,JL3,None,19.13
JL3B2T4,2,JL3,None,32.32
JL3B2T5,2,JL3,None,44.95
JL3B2T6,2,JL3,None,68.87
JL3B2T7,2,JL3,None,94.37
JL3S1T0,1,JL3,NH4,0
JL3S1T1,1,JL3,NH4,3.4
JL3S1T2,1,JL3,NH4,6.4
JL3S1T3,1,JL3,NH4,19.18
JL3S1T4,1,JL3,NH4,32.33
JL3S1T5,1,JL3,NH4,44.97
JL3S1T6,1,JL3,NH4,69.08
JL3S1T7,1,JL3,NH4,94.4
AB1T0,1,Allyl,Spirulina,0
AB1T1,1,Allyl,Spirulina,23.7
AB1T2,1,Allyl,Spirulina,37.8
AB1T3,1,Allyl,Spirulina,60.65
AB1T4,1,Allyl,Spirulina,71.26666667
AB2T0,2,Allyl,Spirulina,0
AB2T1,2,Allyl,Spirulina,23.81666667
AB2T2,2,Allyl,Spirulina,38.73333333
AB2T3,2,Allyl,Spirulina,61.33333333
AB2T4,2,Allyl,Spirulina,73
AB2T5,2,Allyl,Spirulina,82.11666667
AB2T6,2,Allyl,Spirulina,93.93333333
AB2T7,2,Allyl,Spirulina,97.11666667
AB2T8,2,Allyl,Spirulina,99.7
AB2T9,2,Allyl,Spirulina,103.55
AB2T10,2,Allyl,Spirulina,116.4333333
AB3T0,3,Allyl,Spirulina,0
AB3T1,3,Allyl,Spirulina,23.23333333
AB3T2,3,Allyl,Spirulina,39.23333333
AB3T3,3,Allyl,Spirulina,61.45
AB3T4,3,Allyl,Spirulina,73.23333333
AB3T5,3,Allyl,Spirulina,82.23333333
AB3T6,3,Allyl,Spirulina,93.21666667
AB3T7,3,Allyl,Spirulina,97.18333333
AB3T8,3,Allyl,Spirulina,99.76666667
AB3T9,3,Allyl,Spirulina,102.9
AB3T10,3,Allyl,Spirulina,116.85
MB2T0,2,AlMeOH,Spirulina,0
MB2T1,2,AlMeOH,Spirulina,4.566666667
MB2T2,2,AlMeOH,Spirulina,8.6
MB2T3,2,AlMeOH,Spirulina,18.1
MB2T4,2,AlMeOH,Spirulina,21.25
MB2T5,2,AlMeOH,Spirulina,24.56666667
MB2T6,2,AlMeOH,Spirulina,27.55
MB2T7,2,AlMeOH,Spirulina,29.88333333
MB3T0,3,AlMeOH,Spirulina,0
MB3T1,3,AlMeOH,Spirulina,4.45
MB3T2,3,AlMeOH,Spirulina,8.1
MB3T3,3,AlMeOH,Spirulina,17.6
MB3T4,3,AlMeOH,Spirulina,21.1
MB3T5,3,AlMeOH,Spirulina,24.4
MB3T6,3,AlMeOH,Spirulina,25.45
MB3T7,3,AlMeOH,Spirulina,29.56666667
