Name,Rate Constant hr^-1,Modeled Initial Methane (nM),Modeled Initial Oxygen (µM),Oxygen Consumption Rate (µM/hr),pmoA_Mco_avg,16S_bacterial_avg,pmoA_rel_bac,Amplicon_bacterial_reads,Amplicon_archaeal_reads,Amplicon_unknown_reads,16S_Mco_rel_all,Amplicon_Mco_reads,16S_Mco_bacterial_rel,diff_bacterial_rel_vs_total_rel
B1T0,0.327,334.07,69.53,1.38,,,,102118,71,6,0.008160869,834,0.008167022,6.15E-06
B2T0,0.462,334.6,64.4,3.06,1031.143945,1917498.289,0.000537755,122570,228,4,0.008867934,1089,0.008884719,1.68E-05
B3T0,0.448,369.88,69.8,3.06,3771.62069,5398327.616,0.000698665,116302,188,0,0.010241222,1193,0.010257777,1.66E-05
JL1N1T0,0.075,331.44,267.8,3.92,745.433083,24825321.65,3.00E-05,34094,0,0,0.001114566,38,0.001114566,-3.87E-10
JL1B2T0,0.087,301.6,275.02,4.07,1205.474825,53611353.45,2.25E-05,88044,10,0,0.001135667,100,0.001135796,1.29E-07
JL1N3T0,0.051,318.03,279.03,2.22,726.8109836,42006646.32,1.73E-05,62613,2,0,0.001229737,77,0.001229777,3.96E-08
JL2N1T0,0.042,378.98,258.31,4.63,766.9212874,50416694.42,1.52E-05,84887,4,0,0.000400514,34,0.000400532,1.85E-08
JL2B2T0,0.029,362.09,274.93,5.49,954.1661588,69593071.5,1.37E-05,52665,0,0,0.000417735,22,0.000417735,-2.62E-10
JL2N3T0,0.038,434.36,256.78,2.92,236.2442683,55812011.47,4.23E-06,97416,0,0,0.00021557,21,0.00021557,3.38E-10
JL3S1T0,0.193,195.16,128.08,4.11,1753.536149,26932964.85,6.51E-05,108320,20,0,0.001449142,157,0.001449409,2.67E-07
JL3B2T0,0.238,254.92,133.95,3.42,2509.215458,26456099.85,9.48E-05,88125,25,0,0.001202496,106,0.001202837,3.41E-07
AB1T0,0.236,327.93,145.69,0.86,598.6882094,6633456.181,9.03E-05,165304,575,8,0.001615558,268,0.001621255,5.70E-06
AB2T0,0.22,333.83,164.36,0.98,,4694345.944,,119706,607,0,0.002019732,243,0.002029973,1.02E-05
AB3T0,0.231,347.38,155.51,0.91,1783.791633,19745925.43,9.03E-05,81785,201,3,0.001195282,98,0.001198264,2.98E-06
MB2T0,0.246,379.15,231.8,15.47,,,,60587,262,0,0.000953179,58,0.000957301,4.12E-06
MB3T0,0.242,408.75,217.12,14.3,,1158003.761,,79189,410,2,0.000716071,57,0.000719797,3.73E-06
