Timepoint,Replicate,Experiment,Time,W/ Arthro,No Arthro,Difference,Proportion,Percent
AB1T0,1,A,0,87978,87978,0,0,0
AB1T2,1,A,37.8,80042,80042,0,0,0
AB1T3,1,A,60.65,77589,77589,601,0.003360283,0.336028269
AB1T4,1,A,71.2666667,77230,77230,47,0.000330723,0.033072273
AB2T0,2,A,0,70121,70121,0,0,0
AB2T1,2,A,23.81666667,66534,66534,0,0,0
AB2T10,2,A,116.4333333,57453,57453,0,0,0
AB2T2,2,A,38.73333333,57434,57434,0,0,0
AB2T3,2,A,61.33333333,54925,54925,1897,0.01234359,1.234359038
AB2T4,2,A,73,53085,52838,89,0.000604295,0.060429525
AB2T5,2,A,82.11666667,52838,51325,46,0.000313017,0.031301673
AB2T6,2,A,93.93333333,51325,49716,0,0,0
AB2T7,2,A,97.11666667,49716,42970,41,0.000389612,0.038961162
AB2T8,2,A,99.7,42970,41004,10,8.01045E-05,0.008010446
AB2T9,2,A,103.55,41004,37849,8,6.62137E-05,0.006621365
AB3T0,3,A,0,37849,37655,0,0,0
AB3T1,3,A,23.23333333,37655,32858,0,0,0
AB3T10,3,A,116.85,32858,31346,26,0.000209584,0.020958446
AB3T2,3,A,39.23333333,31346,31102,6077,0.074589128,7.458912769
AB3T3,3,A,61.45,31102,31063,413,0.00403033,0.403032994
AB3T4,3,A,73.23333333,31063,30954,22,0.000175807,0.017580732
AB3T5,3,A,82.23333333,30954,26202,33,0.000238905,0.023890538
AB3T6,3,A,93.21666667,26202,25395,7,5.71858E-05,0.00571858
AB3T7,3,A,97.18333333,25395,23744,3,2.49667E-05,0.002496671
AB3T8,3,A,99.76666667,23744,23655,27,0.000193001,0.019300051
AB3T9,3,A,102.9,23655,23375,13,0.000104852,0.010485224
MB2T0,2,M,0,21474,21293,4,6.63735E-05,0.006637352
MB2T1,2,M,4.566666667,21293,21004,12242,0.099962439,9.996243855
MB2T2,2,M,8.6,21004,20596,7131,0.055595403,5.55954033
MB2T3,2,M,18.1,20596,19775,973,0.007473405,0.747340528
MB2T4,2,M,21.25,19775,19565,299,0.002480155,0.248015462
MB2T5,2,M,24.56666667,19565,19248,301,0.002056531,0.205653068
MB2T6,2,M,27.55,19248,19027,54,0.00037794,0.037793953
MB2T7,2,M,29.88333333,19027,18858,32,0.000313984,0.031398407
MB3T0,3,M,0,18858,17981,49,0.000617837,0.061783656
MB3T1,3,M,4.45,17981,17907,15585,0.089974887,8.99748867
MB3T2,3,M,8.1,17907,16472,6542,0.041770422,4.17704223
MB3T3,3,M,17.6,16472,16447,2118,0.013606054,1.360605399
MB3T4,3,M,21.1,163888,163138,750,0.004576296,0.457629601
MB3T5,3,M,24.4,206492,206041,451,0.002184104,0.218410398
MB3T6,3,M,25.45,190501,190351,150,0.000787397,0.078739744
MB3T7,3,M,29.56666667,180649,180611,38,0.000210353,0.021035267
