Name,Date,Rate_Constant,Modeled_Initial_Methane,Modeled_Initial_MOx_Rate,Modeled_Initial_Oxygen,Oxygen_Consumption
B1T0,10_26_20,0.327,334.07,109.24089,69.53,1.38
B2T0,10_26_20,0.462,334.6,154.5852,64.4,3.06
B3T0,10_26_20,0.448,369.88,165.70624,69.8,3.06
JL1N1T0,6_25_21,0.075,331.44,24.858,267.8,3.92
JL1B2T0,6_25_21,0.087,301.6,26.2392,275.02,4.07
JL1N3T0,6_25_21,0.051,318.03,16.21953,279.03,2.22
JL2N1T0,6_29_21,0.042,378.98,15.91716,258.31,4.63
JL2B2T0,6_29_21,0.029,362.09,10.50061,274.93,5.49
JL2N3T0,6_29_21,0.038,434.36,16.50568,256.78,2.92
JL3S1T0,7_10_21,0.193,195.16,37.66588,128.08,4.11
JL3B2T0,7_10_21,0.238,254.92,60.67096,133.95,3.42
AB1T0,10_29_21,0.236,327.93,77.39148,145.69,0.86
AB2T0,10_29_21,0.22,333.83,73.4426,164.36,0.98
AB3T0,10_29_21,0.231,347.38,80.24478,155.51,0.91
MB2T0,11_3_21,0.246,379.15,93.2709,231.8,15.47
MB3T0,11_3_21,0.242,408.75,98.9175,217.12,14.3
