Box,Dissolved gas,Hours Elapsed,O2
2,Oxygen,0,202.772
2,Oxygen,0.000694444,203.023
2,Oxygen,0.001388889,203.361
2,Oxygen,0.002083333,203.765
2,Oxygen,0.002777778,203.972
2,Oxygen,0.003472222,204.092
2,Oxygen,0.004166667,204.146
2,Oxygen,0.004861111,204.411
2,Oxygen,0.005555556,204.514
2,Oxygen,0.00625,204.43
2,Oxygen,0.006944444,204.307
2,Oxygen,0.007638889,204.114
2,Oxygen,0.008333333,204.172
2,Oxygen,0.009027778,204.123
2,Oxygen,0.009722222,204.063
2,Oxygen,0.010416667,203.883
2,Oxygen,0.011111111,203.848
2,Oxygen,0.011805556,203.737
2,Oxygen,0.0125,203.571
2,Oxygen,0.013194444,203.699
2,Oxygen,0.013888889,203.645
2,Oxygen,0.014583333,203.635
2,Oxygen,0.015277778,203.652
2,Oxygen,0.015972222,203.702
2,Oxygen,0.016666667,203.512
2,Oxygen,0.017361111,203.568
2,Oxygen,0.018055556,203.436
2,Oxygen,0.01875,203.368
2,Oxygen,0.019444444,203.342
2,Oxygen,0.020138889,203.202
2,Oxygen,0.020833333,203.051
2,Oxygen,0.021527778,202.898
2,Oxygen,0.022222222,202.935
2,Oxygen,0.022916667,202.824
2,Oxygen,0.023611111,202.643
2,Oxygen,0.024305556,202.439
2,Oxygen,0.025,202.326
2,Oxygen,0.025694444,202.326
2,Oxygen,0.026388889,202.258
2,Oxygen,0.027083333,201.991
2,Oxygen,0.027777778,201.962
2,Oxygen,0.028472222,201.867
2,Oxygen,0.029166667,201.758
2,Oxygen,0.029861111,201.65
2,Oxygen,0.030555556,201.584
2,Oxygen,0.03125,201.372
2,Oxygen,0.031944444,201.327
2,Oxygen,0.032638889,201.334
2,Oxygen,0.033333333,201.183
2,Oxygen,0.034027778,201.044
2,Oxygen,0.034722222,200.975
2,Oxygen,0.035416667,200.878
2,Oxygen,0.036111111,200.624
2,Oxygen,0.036805556,200.562
2,Oxygen,0.0375,200.422
2,Oxygen,0.038194444,200.395
2,Oxygen,0.038888889,200.204
2,Oxygen,0.039583333,200.114
2,Oxygen,0.040277778,199.996
2,Oxygen,0.040972222,199.95
2,Oxygen,0.041666667,199.79
2,Oxygen,0.042361111,199.637
2,Oxygen,0.043055556,199.589
2,Oxygen,0.04375,199.426
2,Oxygen,0.044444444,199.333
2,Oxygen,0.045138889,199.184
2,Oxygen,0.045833333,199.078
2,Oxygen,0.046527778,198.904
2,Oxygen,0.047222222,198.911
2,Oxygen,0.047916667,198.713
2,Oxygen,0.048611111,198.629
2,Oxygen,0.049305556,198.452
2,Oxygen,0.05,198.327
2,Oxygen,0.050694444,198.258
2,Oxygen,0.051388889,198.211
2,Oxygen,0.052083333,197.976
2,Oxygen,0.052777778,197.853
2,Oxygen,0.053472222,197.922
2,Oxygen,0.054166667,197.802
2,Oxygen,0.054861111,197.586
2,Oxygen,0.055555556,197.358
2,Oxygen,0.05625,197.324
2,Oxygen,0.056944444,197.322
2,Oxygen,0.057638889,197.097
2,Oxygen,0.058333333,197.061
2,Oxygen,0.059027778,196.967
2,Oxygen,0.059722222,196.906
2,Oxygen,0.060416667,196.835
2,Oxygen,0.061111111,196.663
2,Oxygen,0.061805556,196.486
2,Oxygen,0.0625,196.408
2,Oxygen,0.063194444,196.391
2,Oxygen,0.063888889,196.254
2,Oxygen,0.064583333,196.075
2,Oxygen,0.065277778,195.973
2,Oxygen,0.065972222,195.809
2,Oxygen,0.066666667,195.85
2,Oxygen,0.067361111,195.67
2,Oxygen,0.068055556,195.552
2,Oxygen,0.06875,195.487
2,Oxygen,0.069444444,195.348
2,Oxygen,0.070138889,195.266
2,Oxygen,0.070833333,195.159
2,Oxygen,0.071527778,194.986
2,Oxygen,0.072222222,194.96
2,Oxygen,0.072916667,194.782
2,Oxygen,0.073611111,194.713
2,Oxygen,0.074305556,194.597
2,Oxygen,0.075,194.488
2,Oxygen,0.075694444,194.374
2,Oxygen,0.076388889,194.354
2,Oxygen,0.077083333,194.219
2,Oxygen,0.077777778,194.107
2,Oxygen,0.078472222,193.926
2,Oxygen,0.079166667,193.902
2,Oxygen,0.079861111,193.789
2,Oxygen,0.080555556,193.645
2,Oxygen,0.08125,193.472
2,Oxygen,0.081944444,193.398
2,Oxygen,0.082638889,193.292
2,Oxygen,0.083333333,193.293
2,Oxygen,0.084027778,193.18
2,Oxygen,0.084722222,192.971
2,Oxygen,0.085416667,192.884
2,Oxygen,0.086111111,192.766
2,Oxygen,0.086805556,192.649
2,Oxygen,0.0875,192.597
2,Oxygen,0.088194444,192.388
2,Oxygen,0.088888889,192.3
