Experiment,Replicate,Mco_Prop,Mcy_Prop,Mco_Prop_Log10,Mcy_Prop_Log10
Oct_20,2,0.000537755,0.001111564,-3.269415689,-2.954065681
Oct_20,3,0.000698665,0.002322746,-3.155731228,-2.633998187
JL1,1,3.00271E-05,3.87247E-06,-4.522486221,-5.412012458
JL1,2,2.24854E-05,1.81594E-05,-4.648098626,-4.740899662
JL1,3,1.73023E-05,1.01631E-05,-4.761896528,-4.992972965
JL2,1,1.52117E-05,7.23023E-05,-4.817823575,-4.140847652
JL2,2,1.37106E-05,7.44298E-05,-4.862941995,-4.128253439
JL2,3,4.23286E-06,5.18665E-05,-5.373366394,-4.285113104
JL3,1,6.51074E-05,0.000129947,-4.186369441,-3.886233933
JL3,2,9.48445E-05,0.000182106,-4.022987867,-3.739675822
Allyl,1,9.02528E-05,0.000539334,-4.044539159,-3.26814215
Allyl,3,9.03372E-05,9.99504E-05,-4.04413337,-4.000215341
