Time,Box,Avg Cp of Mco,Avg Cp of Bac,Avg_Mco_rel_abund
0,2,23340.29985,721749.4091,0.032338509
1,2,24551.928,621896.2656,0.039479137
2.05,2,56828.64609,1239409.857,0.045851375
5,2,24629.92562,746804.4812,0.03298042
8.25,2,21520.0517,933564.3056,0.023051494
20.88,2,1537.065963,54655.1238,0.028122998
31.78,2,34503.06063,505641.0865,0.068236268
50.03,2,34392.11194,1225589.172,0.028061697
0,3,44646.20646,868910.6702,0.051381814
1,3,28060.27998,1016512.164,0.02760447
2.05,3,61972.18979,1131253.534,0.054781875
5,3,47881.21345,1843506.302,0.025972905
20.88,3,24336.27541,745886.3781,0.032627323
31.78,3,24384.86722,788346.2716,0.030931671
50.03,3,70372.11455,1575887.053,0.044655557
